# Dispersal data - part of the SCALES dispersal database
# www.scales-project.net
# Species: Common buzzard (Buteo buteo)
# Source: Friedrich P (1998): Raumansprüche von Vogelpopulationen 
# und die Konsequenzen von Zerschneidungen und Störungen 
# ihrer Lebensräume. Dissertation. 
# Ernst-Moritz-Arndt-Universität Greifswald.
x;y
3000,0;14,0
5000,0;23,0
7000,0;20,0
9000,0;15,0
11000,0;12,0
13000,0;4,0
15000,0;8,0
17000,0;9,0
19000,0;9,0
21000,0;5,0
23000,0;4,0
25000,0;5,0
27000,0;4,0
29000,0;2,0
31000,0;2,0
33000,0;7,0
37000,0;1,0
39000,0;9,0
41000,0;4,0
43000,0;2,0
45000,0;2,0
47000,0;1,0
49000,0;3,0
51000,0;1,0
53000,0;4,0
55000,0;2,0
57000,0;3,0
59000,0;3,0
61000,0;3,0
65000,0;5,0
67000,0;3,0
69000,0;2,0
71000,0;3,0
75000,0;1,0
83000,0;1,0
87000,0;1,0
89000,0;2,0
97000,0;3,0
103000,0;1,0
105000,0;1,0
107000,0;1,0
117000,0;1,0
121000,0;3,0
123000,0;1,0
129000,0;1,0
145000,0;1,0
147000,0;1,0
153000,0;2,0
157000,0;3,0
161000,0;2,0
163000,0;2,0
171000,0;1,0
219000,0;1,0
225000,0;1,0
251000,0;1,0
253000,0;1,0
259000,0;1,0
261000,0;2,0
265000,0;2,0
293000,0;1,0
